accessory_model,accessory_name,accessory_type,condition,equipment_type,indoor_model_or_series,required_optional,source_pdf_page,source_printed_page,source_row,source_table
KRP4AA52 | KRP4AA95,Bộ chuyển đổi dây cho phụ kiện điện(2),,KRP4AA52 | KRP4AA95 | *3,SOURCE_SCOPE,FVA 50/60/71/100/125/140AMVM,OPTIONAL_OR_CONDITIONAL,67,132|133,14,4
KRP4AA95,Hộp lắp đặt cho bộ chuyển đổi PCB,,KRP4AA95 |  | ,SOURCE_SCOPE,FVA 50/60/71/100/125/140AMVM,OPTIONAL_OR_CONDITIONAL,67,132|133,15,4
KAF631C80 | KAF631C160 | KAF631C56 | KAF631C80 | KAF631C160,Phin lọc,Phin lọc,KAF631C160 |  | *1,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,4,5
KAF632C80 | KAF632C160 | KAF632C56 | KAF632C80 | KAF632C160,Phin lọc hiệu suất cao,,KAF632C160 |  | *1,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,5,5
KAF633C80 | KAF633C160 | KAF633C56 | KAF633C80 | KAF633C160,90%,,KAF633C160 |  | *1,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,6,5
KDDFP63B80 | KDDFP63B160 | KDDFP63B56 | KDDFP63B80 | KDDFP63B160,Khoang lọc (cho hút gió phía sau),,KDDFP63B160 |  | *1,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,7,5
BRC1H63W,Điều khiển từ xa,Điều khiển từ xa, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,10,5
BRC1H63K,Đen,, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,11,5
BRC1E63,Navigation remote controller,, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,12,5
BRC2E61,Điều khiển từ xa đơn giản,, |  | *2,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,13,5
BRC4C66,Điều khiển từ xa,, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,14,5
BRC4C65,Hai chiều,, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,15,5
BRP11B62 | KRP4A98,Thiết bị,Thiết bị, | KRP4A98 | *3,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,22,5
KRP4AA51 | KRP4A98,Bộ chuyển đổi dây cho phụ kiện điện(2),, | KRP4A98 | *3,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,23,5
BRP7A51 | KRP4A98,Bộ chuyển đổi kỹ thuật số đầu vào,, | KRP4A98 | *3,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,24,5
KRP4A98,Tấm gắn cho bộ chuyển đổi PCB,," |  | *4,5",SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,25,5
BRCS01A-4,Cảm biến điều khiển từ xa,Cảm biến điều khiển từ xa, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,26,5
BRP072C42-1,Không dây,Không dây, |  | ,SOURCE_SCOPE,FBA 50/60/71 BVMA | FBA 100/125/140 BVMA | FBFC 40/50/60 DVM | FBFC 71/85 DVM | FBFC 100/125/140 DVM,OPTIONAL_OR_CONDITIONAL,67,132|133,27,5
BRC51D61,Điều khiển từ xa,Điều khiển từ xa,BRC51D61 |  | *1,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,3,6
BRC52A62,Điều khiển từ xa,,BRC52A62 |  | ,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,4,6
DCM601B51,Điều khiển,Điều khiển,DCM601B51 |  | ,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,5,6
KRP928BB2S,Bộ điều hợp giao diện cho Intelligent Touch Manager (iTM),,KRP928BB2S |  | ,SOURCE_SCOPE,FVFC 71/85/100/125/140AV1,OPTIONAL_OR_CONDITIONAL,67,132|133,6,6
KKP014A4 | KKP937A4 | KKPJ5H280,Nút xả nước trung tâm,Nút xả nước trung tâm,KKPJ5H280 |  | ,SOURCE_SCOPE,,OPTIONAL_OR_CONDITIONAL,68,134|135,5,2
KAF501B56 | KAF501B80 | KAF501B160 | KAF501B56 | KAF501B80 | KAF501B160,Phin lọc,Phin lọc, |  | ,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,3,3
KDU50R160,Bơm nước xả,Bơm nước xả, |  | ,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,4,3
BAPWS55A61 | BERPW50A61 | BRC1H63W/K,IAQ,IAQ,"BERPW50A61 | BRC1H63W/K | *4,5",SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,6,3
BERPW50A61,Bộ gắn cho tùy chọn Streamer,, |  | ,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,7,3
BRC1H63W,Điều khiển từ xa,Điều khiển từ xa, |  | *1,SOURCE_SCOPE,FHA 50/60CVMV MỚI 50/60DVMV | FHA 71CVMV MỚI 71DVMV | FHA 100CVMV 125/140CVMA | MỚI FHFC 40/50/60 EV1 | MỚI FHFC 71/85 EV1 | MỚI FHFC 100/125/140 EV1,OPTIONAL_OR_CONDITIONAL,68,134|135,8,3
