sku,model_code,capacity_class,published_kw,published_btu,kw_times_3412_btu,difference_percent,decision,source_pdf_page,source_printed_page
FVA140AMVM-RZA140DV1,FVA140AMVM/RZA140DV1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,60,118|119
FVA140AMVM-RZA140DY1,FVA140AMVM/RZA140DY1,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,60,118|119
FVA140AMVM-RZF140CVM,FVA140AMVM/RZF140CVM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,57,112|113
FVA140AMVM-RZF140CYM,FVA140AMVM/RZF140CYM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,57,112|113
FVA140AMVM-RZF140DVM,FVA140AMVM/RZF140DVM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,57,112|113
FVA140AMVM-RZF140DYM,FVA140AMVM/RZF140DYM,140,14.0,47800,47768.00,0.0670,CONSISTENT_WITH_CONVERSION,57,112|113
FVA50AMVM-RZA50DV2V,FVA50AMVM/RZA50DV2V,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,60,118|119
FVA50AMVM-RZF50DVM,FVA50AMVM/RZF50DVM,50,5.0,17100,17060.00,0.2345,CONSISTENT_WITH_CONVERSION,57,112|113
FVA60AMVM-RZA60DV2V,FVA60AMVM/RZA60DV2V,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,60,118|119
FVA60AMVM-RZF60DVM,FVA60AMVM/RZF60DVM,60,6.0,20500,20472.00,0.1368,CONSISTENT_WITH_CONVERSION,57,112|113
FVA71AMVM-RZA71DV1,FVA71AMVM/RZA71DV1,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,60,118|119
FVA71AMVM-RZF71DVM,FVA71AMVM/RZF71DVM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,57,112|113
FVA71AMVM-RZF71DYM,FVA71AMVM/RZF71DYM,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,57,112|113
FVC100AV1V-RC100AGY1V,FVC100AV1V/RC100AGY1V,100,10.55,36000,35996.60,0.0094,CONSISTENT_WITH_CONVERSION,65,128|129
FVC125AV1V-RC125AGY1V,FVC125AV1V/RC125AGY1V,125,12.31,42000,42001.72,-0.0041,CONSISTENT_WITH_CONVERSION,65,128|129
FVC140AV1V-RC140AGY1V,FVC140AV1V/RC140AGY1V,140,14.07,48000,48006.84,-0.0142,CONSISTENT_WITH_CONVERSION,65,128|129
FVC85AV1V-RC85AGV1V,FVC85AV1V/RC85AGV1V,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,65,128|129
FVC85AV1V-RC85AGY1V,FVC85AV1V/RC85AGY1V,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,65,128|129
FVFC100AV1-RZFC100AV19,FVFC100AV1/RZFC100AV19,100,10.0,34100,34120.00,-0.0586,CONSISTENT_WITH_CONVERSION,63,124|125
FVFC125AV1-RZFC125AY19,FVFC125AV1/RZFC125AY19,125,12.5,42700,42650.00,0.1172,CONSISTENT_WITH_CONVERSION,63,124|125
FVFC140AV1-RZFC140AY19,FVFC140AV1/RZFC140AY19,140,13.6,46500,46403.20,0.2086,CONSISTENT_WITH_CONVERSION,63,124|125
FVFC71AV1-RZFC71AGV19,FVFC71AV1/RZFC71AGV19,71,7.1,24200,24225.20,-0.1040,CONSISTENT_WITH_CONVERSION,63,124|125
FVFC85AV1-RZFC85AV19,FVFC85AV1/RZFC85AV19,85,8.5,29000,29002.00,-0.0069,CONSISTENT_WITH_CONVERSION,63,124|125
FVGR10PV1-RCN100H(E)Y18,FVGR10PV1/RCN100H(E)Y18,10,29.3,100000,99971.60,0.0284,CONSISTENT_WITH_CONVERSION,65,128|129
FVGR13PV1-RCN125H(E)Y18,FVGR13PV1/RCN125H(E)Y18,13,35.5,121000,121126.00,-0.1040,CONSISTENT_WITH_CONVERSION,65,128|129
FVGR15PV1-RCN150H(E)Y18,FVGR15PV1/RCN150H(E)Y18,15,44.8,153000,152857.60,0.0932,CONSISTENT_WITH_CONVERSION,65,128|129
FVGR8PV1-RN80H(E)Y18,FVGR8PV1/RN80H(E)Y18,8,23.5,80000,80182.00,-0.2270,CONSISTENT_WITH_CONVERSION,65,128|129
